GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US62860,62860,ZCTA5 62860,549,147,544,147,0,11,0,11,0,11,0,11,0,11,5,7,0,11,5,7
8600000US62861,62861,ZCTA5 62861,172,71,172,71,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62862,62862,ZCTA5 62862,321,79,316,78,0,11,5,8,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62863,62863,ZCTA5 62863,9713,280,9353,283,98,82,5,14,130,65,0,15,11,19,116,44,0,15,116,44
8600000US62864,62864,ZCTA5 62864,23501,309,20001,348,2335,214,20,20,405,60,0,20,82,52,658,170,37,38,621,163
8600000US62865,62865,ZCTA5 62865,2021,350,1974,354,5,10,16,23,0,11,10,15,0,11,16,19,0,11,16,19
8600000US62867,62867,ZCTA5 62867,520,126,497,118,3,5,0,11,0,11,0,11,4,8,16,17,0,11,16,17
8600000US62868,62868,ZCTA5 62868,1681,222,1645,221,12,15,4,7,4,7,0,11,4,8,12,17,8,14,4,8
8600000US62869,62869,ZCTA5 62869,2814,214,2790,217,0,11,0,11,7,12,0,11,0,11,17,18,0,11,17,18
8600000US62870,62870,ZCTA5 62870,2045,200,1955,206,45,45,0,11,0,11,0,11,3,4,42,34,3,4,39,33
8600000US62871,62871,ZCTA5 62871,658,135,619,129,0,11,0,11,0,11,0,11,0,11,39,36,0,11,39,36
8600000US62872,62872,ZCTA5 62872,1017,162,1010,162,0,11,0,11,2,4,0,11,3,6,2,3,0,11,2,3
8600000US62874,62874,ZCTA5 62874,452,167,448,168,0,11,0,11,4,6,0,11,0,11,0,11,0,11,0,11
8600000US62875,62875,ZCTA5 62875,1260,178,1227,171,14,13,0,11,0,11,0,11,8,16,11,10,0,11,11,10
8600000US62876,62876,ZCTA5 62876,159,36,156,36,0,11,0,11,0,11,0,11,3,4,0,11,0,11,0,11
8600000US62877,62877,ZCTA5 62877,549,68,527,68,13,18,0,11,0,11,0,11,0,11,9,16,0,11,9,16
8600000US62878,62878,ZCTA5 62878,512,174,512,174,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
8600000US62879,62879,ZCTA5 62879,96,40,96,40,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
